x,y,z
-170,7,-12
-166,4,-14
-166,4,-14
-166,4,-14
-163,5,-15
-163,5,-15
-163,5,-15
-163,5,-15
-162,5,-15
-162,5,-15
-162,5,-15
-162,5,-15
-158,0,-14
-158,0,-14
-158,0,-14
-150,-8,-15
-150,-8,-15
-150,-8,-15
-150,-8,-15
-137,-19,-15
-137,-19,-15
-137,-19,-15
-120,-24,-15
-120,-24,-15
-120,-24,-15
-101,-21,-13
-101,-21,-13
-101,-21,-13
-101,-21,-13
-84,-16,-12
-84,-16,-12
-84,-16,-12
-70,-11,-11
-70,-11,-11
-70,-11,-11
-70,-11,-11
-56,-3,-9
-56,-3,-9
-56,-3,-9
-42,2,-8
-42,2,-8
-42,2,-8
-42,2,-8
-29,7,-7
-29,7,-7
-29,7,-7
-29,7,-7
-15,11,-5
-15,11,-5
-15,11,-5
-15,11,-5
2,14,-2
2,14,-2
2,14,-2
26,13,-1
26,13,-1
26,13,-1
26,13,-1
54,5,-1
54,5,-1
54,5,-1
54,5,-1
86,-5,0
86,-5,0
86,-5,0
86,-5,0
114,-16,0
114,-16,0
114,-16,0
114,-16,0
133,-23,-1
133,-23,-1
133,-23,-1
144,-28,-1
144,-28,-1
144,-28,-1
144,-28,-1
149,-29,0
149,-29,0
149,-29,0
149,-29,0
151,-25,1
151,-25,1
151,-25,1
156,-17,3
156,-17,3
156,-17,3
156,-17,3
164,-9,4
164,-9,4
164,-9,4
164,-9,4
176,-3,6
176,-3,6
176,-3,6
190,-3,8
190,0,8
190,0,8
190,0,8
207,-3,11
207,-3,11
207,-3,11
207,-3,11
226,-9,13
226,-9,13
226,-9,13
226,-9,13
242,-15,12
242,-15,12
242,-15,12
254,-20,11
254,-20,11
254,-20,11
254,-20,11
261,-20,11
261,-20,11
261,-20,11
263,-15,11
263,-15,11
263,-15,11
263,-15,11
260,-8,12
260,-8,12
260,-8,12
260,-8,12
251,1,13
251,1,13
251,1,13
242,6,12
242,6,12
242,6,12
242,6,12
236,7,13
236,7,13
236,7,13
236,7,13
232,3,14
232,3,14
232,3,14
232,3,14
230,-4,15
230,-4,15
230,-4,15
230,-4,15
230,-12,15
230,-12,15
230,-12,15
229,-15,14
229,-15,14
229,-15,14
229,-15,14
226,-13,13
226,-13,13
226,-13,13
222,-13,11
222,-13,11
222,-13,11
222,-13,11
215,-14,10
215,-14,10
215,-14,10
207,-13,10
207,-13,10
207,-13,10
207,-13,10
199,-14,11
199,-14,11
199,-14,11
199,-14,11
191,-18,11
191,-18,11
191,-18,11
185,-20,8
185,-20,8
185,-20,8
185,-20,8
181,-18,5
181,-18,5
181,-18,5
177,-11,2
177,-11,2
177,-11,2
177,-11,2
171,-2,0
171,-2,0
171,-2,0
171,-2,0
161,1,0
161,1,0
161,1,0
161,1,0
148,0,0
148,0,0
148,0,0
148,0,0
135,-7,0
135,-7,0
135,-7,0
135,-7,0
122,-16,0
122,-16,0
122,-16,0
107,-25,1
107,-25,1
107,-25,1
107,-25,1
93,-33,1
93,-33,1
93,-33,1
93,-33,1
83,-37,3
83,-37,3
83,-37,3
83,-37,3
77,-34,5
77,-34,5
77,-34,5
73,-27,5
73,-27,5
73,-27,5
73,-27,5
69,-19,5
69,-19,5
69,-19,5
69,-19,5
63,-11,4
63,-11,4
63,-11,4
63,-11,4
53,-5,2
53,-5,2
53,-5,2
53,-5,2
41,-3,1
41,-3,1
41,-3,1
41,-3,1
25,-1,2
25,-1,2
25,-1,2
8,2,3
8,2,3
8,2,3
8,2,3
8,2,3
-6,7,4
-6,7,4
-6,7,4
-6,7,4
-20,10,4
-20,10,4
-20,10,4
-20,10,4
-37,12,3
-37,12,3
-37,12,3
-50,13,3
-50,13,3
-50,13,3
-50,13,3
-61,14,4
-61,14,4
-61,14,4
-61,14,4
-69,15,4
-69,15,4
-69,15,4
-69,15,4
-77,16,4
-77,16,4
-77,16,4
-77,16,4
-86,15,5
-86,15,5
-86,15,5
-95,17,4
-95,17,4
-95,17,4
-95,17,4
-107,19,3
-107,19,3
-107,19,3
-107,19,3
-121,22,3
-121,22,3
-121,22,3
-121,22,2
-135,21,2
-135,21,2
-135,21,2
-148,14,0
-148,14,0
-148,14,0
-148,14,0
-161,5,-1
-161,5,-1
-161,5,-1
-161,5,-1
-177,0,-1
-177,0,-1
-177,0,-1
-193,1,-1
-193,1,-1
-193,1,-1
-193,1,-1
-211,7,0
-211,7,0
-211,7,0
-211,7,0
-232,17,0
-232,17,0
-232,17,0
-251,30,-2
-251,30,-2
-251,30,-2
-251,30,-2
-266,40,-3
-266,40,-3
-266,40,-3
-266,40,-3
-275,46,-4
-275,46,-4
-275,46,-4
-277,47,-5
-277,47,-5
-277,47,-5
-277,47,-5
-277,45,-7
-277,45,-7
-277,45,-7
-277,40,-8
-277,40,-8
-277,40,-8
-277,40,-8
-278,31,-11
-278,31,-11
-278,31,-11
-281,25,-13
-281,25,-13
-281,25,-13
-281,25,-13
-286,27,-14
-286,27,-14
-286,27,-14
-289,34,-15
-289,34,-15
-289,34,-15
-289,34,-15
-285,39,-16
