x,y,z
3,-4,-42
3,-4,-42
3,-4,-42
3,-4,-42
2,-4,-42
2,-4,-42
2,-4,-42
2,-4,-42
0,-5,-43
0,-5,-43
0,-5,-43
0,-5,-43
-2,-5,-43
-2,-5,-43
-2,-5,-43
-4,-5,-44
-4,-5,-44
-4,-5,-44
-4,-5,-44
-5,-5,-44
-5,-5,-44
-5,-5,-44
-5,-5,-44
-5,-5,-46
-5,-5,-46
-5,-5,-46
-4,-6,-46
-4,-6,-46
-4,-6,-46
-4,-6,-46
-4,-7,-46
-4,-7,-46
-4,-7,-46
-4,-7,-46
-3,-9,-46
-3,-9,-46
-3,-9,-46
-4,-10,-47
-4,-10,-47
-4,-10,-47
-4,-10,-47
-4,-9,-47
-4,-9,-47
-4,-9,-47
-4,-9,-47
-5,-9,-46
-5,-9,-46
-5,-9,-46
-6,-8,-45
-6,-8,-45
-6,-8,-45
-6,-8,-45
-5,-9,-43
-5,-9,-43
-5,-9,-43
-5,-9,-43
-5,-10,-41
-5,-10,-41
-5,-10,-41
-4,-10,-41
-4,-10,-41
-4,-10,-41
-4,-10,-41
-4,-10,-41
-4,-10,-41
-4,-10,-41
-4,-10,-41
-4,-10,-41
-4,-10,-41
-4,-10,-41
-4,-9,-41
-4,-9,-41
-4,-9,-41
-4,-9,-41
-4,-9,-42
-4,-9,-42
-4,-9,-42
-4,-9,-41
-4,-9,-41
-4,-9,-41
-4,-9,-41
-4,-9,-41
-4,-9,-41
-4,-9,-41
-4,-9,-41
-3,-9,-40
-3,-9,-40
-3,-9,-40
-3,-10,-39
-3,-10,-39
-3,-10,-39
-3,-10,-39
-3,-11,-37
-3,-11,-37
-3,-11,-37
-3,-11,-37
-3,-12,-37
-3,-12,-37
-3,-12,-37
-3,-12,-36
-3,-12,-36
-3,-12,-36
-3,-12,-36
-3,-12,-36
-3,-12,-36
-3,-12,-36
-3,-11,-35
-3,-11,-35
-3,-11,-35
-3,-11,-35
-4,-10,-34
-4,-10,-34
-4,-10,-34
-5,-10,-32
-5,-10,-32
-5,-10,-32
-5,-10,-32
-5,-11,-30
-5,-11,-30
-5,-11,-30
-5,-12,-28
-5,-12,-28
-5,-12,-28
-5,-12,-28
-4,-12,-26
-4,-12,-26
-4,-12,-26
-4,-12,-26
-3,-12,-25
-3,-12,-25
-3,-12,-25
-2,-12,-23
-2,-12,-23
-2,-12,-23
-2,-12,-23
-1,-11,-21
-1,-11,-21
-1,-11,-21
-1,-11,-18
-1,-11,-18
-1,-11,-18
-1,-11,-18
-2,-11,-13
-2,-11,-13
-2,-11,-13
-3,-10,-9
-3,-10,-9
-3,-10,-9
-3,-10,-9
-3,-10,-5
-3,-10,-5
-3,-10,-5
-3,-10,-5
-3,-9,-2
-3,-9,-2
-3,-9,-2
-3,-9,-2
-3,-8,2
-3,-8,2
-3,-8,2
-2,-7,6
-2,-7,6
-2,-7,6
-2,-7,6
-1,-5,9
-1,-5,9
-1,-5,9
-1,-5,9
-1,-3,14
-1,-3,14
-1,-3,14
-1,-3,14
-1,-1,17
-1,-1,17
-1,-1,17
-1,-1,17
-1,0,21
-1,0,21
-1,0,21
-1,0,21
